Birth,Franchise,Cellphone,Full Name,Address,Card Number,Email Address,Value
1971-10-22,Discover, (+35) 320 432 05 11,Armaan Hanna,"Benson Boulevard, 285",6011111111111117,Armann@yahoo.com,2151
1995-10-23,JCB, (+57) 320 432 05 12,Orlaith Gilliam,Bradley Glebe,"3,53011E+15",Orlaith@yahoo.com,3151
1991-10-30,MasterCard, (+57) 320 432 05 19,Blossom Benson,Park Street,5555555555554444,Blossom@yahoo.com,2151
1991-09-24,MasterCard, (+57) 320 432 05 13,Phyllis Hampton,Cherry Boulevard,5555555555554444,mailim@yahoo.com,2151
1980-10-21,Diners Club, (+57) 320 432 05 10,Hiba Larsen,Brent Park,30569309025904,hiba@yahoo.com,2351
1991-10-29,JCB, (+57) 320 432 05 18,Anniyah Franks,Lilypad Street,"3,53011E+15",Anniyah@yahoo.com,2151
1991-10-20,American Express , (+57) 320 432 05 09,Antonio Nunes, Branscombe Gardens,371449635398431,nunes@yahoo.com,2151
1991-10-25,Visa, (+40) 320 432 05 14,Harleen Bush,Market Avenue,4111111111111111,nunes@yahoo.com,21251
1988-05-26,American Express , (+57) 320 432 05 15,Joseph Mcghee,Ebon Avenue,5555555555554450,nunes@yahoo.com,2151
1960-10-27,Diners Club, (+57) 320 432 05 16,Stanley Dunkley,Market Avenue,30569309025904,Freya@yahoo.com,4551
1991-10-28,Discover, (+57) 320 432 05 17,Freya Hewitt,Ivory Route,6011111111111117,nunes@yahoo.com,2151
